JUNGLESCOUT WEBAPP CSV EXPORT 
Report Generated at: Fri Nov 17 2023 15:36:49 GMT-0500 (Eastern Standard Time)
ASIN,Product Name,Brand,Category,Est. Monthly Revenue,Est. Monthly Sales,Price,Fees,Net,Rank,Reviews,LQS,Sellers,Date First Available,Buy Box Owner,Rating,Dimensions,Product Tier,Weight
"B0CK2VWTT5","Westinghouse 28000 Peak Watt Home Backup Portable Generator  Remote Electric Start with Auto Choke  Transfer Switch Ready 30A & 50A Outlets  Gas Powered  CO Sensor Blue","Westinghouse","Patio, Lawn & Garden","$13,041,967.00","3,433","$3,799.00","N.A.","N.A.","579","12","7","2","04/13/2023","Amazon Warehouse","4.3","N.A.","N.A.","N.A."
"B0B8ZKNV6J","MFLABEL 2x4 Labels  10-UP Shipping Address Labels  160000 Labels 16000 Sheets Labels for Printer  Internet Mailing Shipping Labels  Label Stickers  2"" x 4"" FBA Labels for Laser/Inkjet Printer","MFLABEL","Office Products","$11,027,077.56","10,644","$291.49","N.A.","N.A.","263","22663.4","7","1","04/24/2023","OneLink Mall","4.7","N.A.","N.A.","N.A."
"B0BHT3PDVG","Samsonite Freeform Hardside Expandable Luggage with Spinners | Powder Blue | 2PC SET (Carry-on/Large)","Samsonite","Clothing, Shoes & Jewelry","$7,375,819.47","15,053","$489.99","N.A.","N.A.","594","11142","7","6","04/19/2023","Amazon Warehouse","4.55","N.A.","N.A.","N.A."
"B071DZW81X","Gaffer Power Real USA Professional Grade Gaffer Tape  Made in The USA  Heavy Duty Gaffers Tape  Non-Reflective  Multipurpose. 2 Inches x 30 Yards  Black (Case of 24)","Gaffer Power","Industrial & Scientific","$5,798,025.00","15,885","$365.00","$59.58","$305.42","83","18284","7","1","04/03/2023","Gaffer Power","4.6","12.00"" x 10.00"" x 10.00""","Small oversize","19 lbs"
"B0B2MD6NQ8","FDW 5 Inch Gel Memory Foam Mattress Medium-Firm Mattress for Pressure Relief & Cooler Sleep Mattress for Kid Adults Fiberglass Free CertiPUR-US Certified Mattress in a Box  King","FDW","Home & Kitchen","$4,608,683.71","35,729","$102.49","$127.63","-$25.14","96","15892.25","7","100","04/02/2023","Best Massage Store","4.5","80.00"" x 76.00"" x 5.00""","Special oversize","36 lbs"
"B0CDK2H5XB","Stanley Quencher H2.0 FlowState Stainless Steel Vacuum Insulated Tumbler with Lid and Straw for Water  Iced Tea or Coffee  Smoothie and More","Stanley","Home & Kitchen","$4,283,955.00","95,199","$45.00","$14.08","$30.92","1","30724.222222222223","7","1","04/02/2023","Amazon.com","4.7","14.21"" x 6.22"" x 4.41""","Large standard-size","0.66 kg"
"B0CNKNDN5J","Stanley Quencher H2.0 FlowState Stainless Steel Vacuum Insulated Tumbler with Lid and Straw for Water  Iced Tea or Coffee  Smoothie and More  Flint  40 oz","Stanley","Home & Kitchen","$4,212,180.00","93,604","$45.00","$13.48","$31.52","1","432","7","27","04/02/2023","Amazon Warehouse","4.8","12.20"" x 5.80"" x 4.06""","Large standard-size","0.65 kg"
"B0C4CL8QB3","BuyRegisterRolls (500 Rolls) 2 1/4 x 70 Thermal Paper 55 GSM Premium Quality German Paper Large Rolls For Clover Flex Verifone VX520 Ingenico ICT220 ICT250 First Data FD400 BPA Free","BuyRegisterRolls","Office Products","$4,176,848.39","18,161","$229.99","$60.16","$169.83","133","6165","5","1","04/29/2023","BuyRegisterRolls®","4.7","15.00"" x 15.00"" x 7.00""","Small oversize","45 lbs"
"B0C3K7KYLM","URO Vaginal Probiotics  pH Balance with Prebiotics & Lactobacillus Probiotic Blend - Women's Health Supplement - Promote Healthy Vaginal Odor & Vaginal Flora  30 Servings (Pack of 3)","O Positiv","Health & Household","$4,090,208.67","52,191","$55.18","$15.53","$39.65","105","7927.5","7","1","04/22/2023","Amazon","4.4","6.75"" x 2.25"" x 3.00""","Large standard-size","8.04 lbs"
"B0BXLHTLZJ","TUMI Nassau Laptop Portfolio - Black Embossed","TUMI","Clothing, Shoes & Jewelry","$3,944,000.00","9,280","$425.00","$31.29","$393.71","3,567,761","1","5","2","04/12/2023","Amazon","5","2.17"" x 14.57"" x 10.63""","Large standard-size","1.8 lbs"
"B0CLVW8X4K","PuroAir 400 HEPA 14 Air Purifier for Home Large Rooms - Covers 2 145 Sq Ft - Hospital-Grade Filter - Filters 99.99% of Pet Dander  Smoke  Allergens  Dust  Mold  Odors","Elevate Your Home","Home & Kitchen","$3,683,813.00","11,197","$329.00","$64.37","$264.63","2,193","5141","7","1","04/28/2023","Amazon Warehouse","4.7","17.50"" x 10.60"" x 12.50""","Small oversize","16 lbs"
"B0B4P1Y883","FXW Rollick Dog Playpen for Yard  Camping  24"" Height Heavy Duty for/Small Dogs/Puppies Dogs  48 Panels","FXW","Pet Supplies","$3,614,366.47","10,153","$144.99","$126.85","$18.14","642","10519.5","7","1","04/24/2023","N.A.","4.7","31.30"" x 24.20"" x 24.20""","Medium oversize","138.9 lbs"
"B0C2CMDP33","Walker Edison Sedalia Modern Farmhouse MetalxEntry Table  46 Inch  Rustic Oak & Farmhouse Square Side Accent Table Set-Living-Room Storage End Table 18 Inch  Rustic Oak","Walker Edison","Home & Kitchen","$3,602,735.40","16,230","$221.98","N.A.","N.A.","557","8189","6","1","04/12/2023","Amazon.com","4.6","N.A.","N.A.","N.A."
"B0851CMTJ4","Vesgantti Queen Mattresses  14 Inch Queen Size Hybrid Mattress in a Box  Ergonomic Design with Breathable Momory Foam and Pocket Spring/Medium Firm Feel","Vesgantti","Home & Kitchen","$3,381,432.37","6,763","$499.99","$225.94","$274.05","2,750","5519","7","1","04/12/2023","Amazon","4.5","80.00"" x 60.00"" x 14.00""","Special oversize","90 lbs"
"B0CLDLY7Q1","Hasipu Full Length Mirror with Lights  71"" x 32"" Lighted Floor Standing LED Mirror Full Length  Full Body Mirror w/Dimming & 3 Color Lighting Black","Hasipu","Home & Kitchen","$3,148,595.07","5,833","$199.79","N.A.","N.A.","2,673","967.375","7","31","04/12/2023","Amazon","4.491666666666666","N.A.","N.A.","N.A."
"B0CNKM9BK2","Stanley Quencher H2.0 FlowState Stainless Steel Vacuum Insulated Tumbler with Lid and Straw for Water  Iced Tea or Coffee  Smoothie and More","Stanley","Home & Kitchen","$2,841,420.00","94,714","$30.00","$8.27","$21.73","1","50","6","4","04/02/2023","Amazon Warehouse","4.7","9.41"" x 4.17"" x 3.86""","Large standard-size","0.33 kg"
"B0CLBJGDHR","Liquid I.V. Hydration + Energy Multiplier - Mango Tamarind - Hydration Powder Packets | Electrolyte Drink Mix | Easy Open Single-Serving Stick | Non-GMO | 168 Sticks","Liquid I.V.","Health & Household","$2,787,159.00","12,171","$69.99","$43.29","$26.70","1,494","2367.6666666666665","7","2","04/11/2023","Amazon","4.6","14.40"" x 11.40"" x 8.60""","Small oversize","7.9 lbs"
"B0CN5PWQFX","Orgain Organic Vegan Protein Powder  Churro Caramel Swirl - 21g Plant Based Protein  Gluten Free  Dairy Free  Lactose Free  Soy Free  No Sugar Added  Kosher  For Smoothies & Shakes - 1.02lb","Orgain","Health & Household","$2,686,091.65","111,595","$24.07","$8.75","$15.32","172","81","7","1","04/19/2023","Amazon.com","3.5","6.57"" x 4.84"" x 4.80""","Large standard-size","1.32 lbs"
"B0CKLBP5MN","Simply by MervFilters  20x21x1 Air Filter  MERV 8  MPR 600  AC Furnace Air Filter  6-Pack","MervFilters","Tools & Home Improvement","$2,647,871.55","34,845","$75.99","$22.24","$53.75","21","27638","6","1","04/20/2023","N.A.","4.7","19.75"" x 20.75"" x 0.75""","Small oversize","2 lbs"
"B0CFL2TXT2","Portable Power Station 2400W  1843Wh LiFePO4 Solar Generator UPS Home Battery Backup Power w/4 2400W AC Outlets (4800W Peak) 2 PD100W  2Hrs Fast Charging for Outdoor Camping  RV Travel Emergency","GRECELL","Patio, Lawn & Garden","$2,577,923.58","1,642","$1,569.99","$264.96","$1,305.03","4,163","1357","7","1","04/24/2023","Goozens LLC","4.6","16.93"" x 11.81"" x 11.02""","Small oversize","55 lbs"
"B0CNG2W1NJ","Orgain Organic Vegan Protein Powder  Chai Latte - 21g Plant Based Protein  Gluten Free  Dairy Free  Lactose Free  Soy Free  No Sugar Added  Kosher  For Smoothies & Shakes - 1.02lb","Orgain","Health & Household","$2,514,472.55","104,465","$24.07","$8.75","$15.32","172","76","7","2","04/19/2023","Amazon.com","3.9","6.77"" x 5.12"" x 4.72""","Large standard-size","1.02 lbs"
"B08Z62JPBQ","Hooga Red Light Therapy Device  660nm 850nm Red Near Infrared  Full Body 1080 LEDs  Dual Chip Flicker Free LEDs  Clinical Grade Panel for Skin  Pain Relief  Energy  Recovery  Performance. HGPRO ULTRA.","hooga","Health & Household","$2,471,382.00","618","$3,999.00","N.A.","N.A.","31,275","272","8","1","04/03/2023","Hooga Health","4.6","N.A.","N.A.","N.A."
"B0BZJBBKS5","Furinno 5-Tier Reversible Color Open Shelf Bookcase  White/Pink 11055WH/PI & Simplistic Study Table  Pink","Furinno","Home & Kitchen","$2,424,840.00","36,300","$66.80","N.A.","N.A.","N.A.","72773","6","1","04/12/2023","Amazon.com","4.2","N.A.","N.A.","N.A."
