JUNGLESCOUT WEBAPP CSV EXPORT 
Report Generated at: Fri Nov 17 2023 21:33:50 GMT-0500 (Eastern Standard Time)
ASIN,Product Name,Brand,Category,Est. Monthly Revenue,Est. Monthly Sales,Price,Fees,Net,Rank,Reviews,LQS,Sellers,Date First Available,Buy Box Owner,Rating,Dimensions,Product Tier,Weight
"B0CDXQ4P9Y","Dyson V11 Plus Cordless Vacuum Cleaner  Nickel/Purple  Large","Dyson","Home & Kitchen","$6,707,604.00","9,596","$623.00","N.A.","N.A.","735","93.5","6","12","08/04/2023","N.A.","4.5","N.A.","N.A.","N.A."
"B0B4P1Y883","FXW Rollick Dog Playpen Designed for Camping  Yard  50"" Height for Small/Medium/Large Dogs  24 Panels","FXW","Pet Supplies","$6,184,696.92","10,308","$599.99","N.A.","N.A.","620","10517","7","1","08/14/2023","MEEPOLINK","4.7","N.A.","N.A.","N.A."
"B0C4JSZBF4","Waterpik Aquarius Water Flosser  Gray WP-667CD & Cordless Advanced Water Flosser for Teeth  Gums  Braces  Dental Care  White WP-580","Waterpik","Health & Household","$5,616,442.32","37,038","$151.64","N.A.","N.A.","410","129025","7","1","08/02/2023","Amazon.com","4.6","N.A.","N.A.","N.A."
"B0B5FHNRWT","Bloom Nutrition Super Greens Powder Smoothie & Juice Mix - Probiotics for Digestive Health & Bloating Relief for Women  Digestive Enzymes with Spirulina & Chlorella for Gut Health (Strawberry Kiwi)","Bloom Nutrition","Health & Household","$4,471,128.77","59,623","$54.99","$15.77","$39.22","84","326.5","7","1","08/06/2023","Amazon","4.550000000000001","3.60"" x 3.60"" x 6.70""","Large standard-size","15.98 lbs"
"B0CDPQKKG9","ZeroWater Official Replacement Filter - 5-Stage Filter Replacement 0 TDS & 22 Cup Ready-Read 5-Stage Water Filter Dispenser","ZeroWater","Tools & Home Improvement","$4,421,159.06","46,121","$95.86","N.A.","N.A.","N.A.","74945","7","1","08/28/2023","Amazon Warehouse","4.6","N.A.","N.A.","N.A."
"B0CGMP3PNX","Sony E 10-20mm f/4 PZ G Lens Bundled with 62mm UV Filter + 5-Piece Camera Cleaning Kit + Cleaning Lens Pen + Lens Cap Keeper + Microfiber Cleaning Cloth (6 Items)","Sony","Electronics","$3,511,860.00","4,695","$748.00","N.A.","N.A.","N.A.","53","6","1","08/24/2023","K&M Camera Since 1976","4.6","N.A.","N.A.","N.A."
"B0CFGL2YN5","Fruit of the Loom Eversoft Fleece Hoodies  Pullover & Full Zip  Moisture Wicking & Breathable  Sizes S-4X","Fruit of the Loom","Clothing, Shoes & Jewelry","$3,477,129.00","141,060","$16.99","$14.27","$2.72","1","52298.92592592593","6","3","08/10/2023","Amazon.com","4.6","19.00"" x 12.00"" x 0.75""","Small oversize","1.26 lbs"
"B089VZSC83","Bedsure Orthopedic Dog Bed for Extra Large Dogs - XL Plus Waterproof Dog Sofa Bed  Supportive Foam Pet Couch Bed with Removable Washable Cover  Waterproof Lining and Nonskid Bottom  Navy Blue","Bedsure","Pet Supplies","$3,472,264.15","38,585","$69.99","$101.61","-$31.62","99","32956.846153846156","6","1","08/23/2023","Amazon","4.6","48.00"" x 35.00"" x 8.00""","Large oversize","15.05 lbs"
"B0CGVQV5V5","Graco Extend2Fit Convertible Car Seat  Ride Rear Facing Longer with Extend2Fit  Spire & SnugRide Lite Infant Car Seat Base  Black","Graco","Baby","$3,288,257.28","10,784","$304.92","$89.27","$215.65","196,868","71950","7","1","08/30/2023","Amazon.com","4.8","21.50"" x 19.50"" x 23.50""","Medium oversize","19 lbs"
"B0CBNTWP97","KitchenAid Artisan Stand Mixer with Pasta Roller and Cutter Attachment Set","KitchenAid","Kitchen & Dining","$3,259,474.02","5,433","$599.94","N.A.","N.A.","1,637","16971.333333333332","6","1","08/06/2023","Amazon.com","4.8","N.A.","N.A.","N.A."
"B08CXD1NJ3","Bedsure Human Dog Bed for People Adults  Calming Human Size Giant Dog Bed Fits Pet Families with Memory Foam Supportive Mat and Storage Pocket  Fluffy Faux Fur Orthopedic Dog BeanBed  Pink","Bedsure","Pet Supplies","$3,208,861.72","17,828","$179.99","$133.70","$46.29","179","15743.5","7","1","08/09/2023","Amazon","4.6","72.00"" x 48.00"" x 12.00""","Special oversize","33.15 lbs"
