JUNGLESCOUT WEBAPP CSV EXPORT 
Report Generated at: Fri Nov 17 2023 15:35:50 GMT-0500 (Eastern Standard Time)
ASIN,Product Name,Brand,Category,Est. Monthly Revenue,Est. Monthly Sales,Price,Fees,Net,Rank,Reviews,LQS,Sellers,Date First Available,Buy Box Owner,Rating,Dimensions,Product Tier,Weight
"B09N27VGSF","55 Gallon Clear Trash Bags - 38"" x 58"" 1.5MIL(Equivalent)-CSR Series-Heavy Duty Industrial Liners Clear Garbage Bags for Recycling  Contractors(1 Pallet of 100 Packs 10000 Count Total)","Aluf Plastics","Health & Household","$35,377,244.75","9,965","$3,550.15","$1,534.29","$2,015.86","5,061","11467","7","1","12/11/2022","N.A.","4.4","118.00"" x 48.00"" x 40.00""","Special oversize","1167 lbs"
"B087S2JRXY","Amazon Basics 200-Sheet Auto Feed Cross Cut Paper Shredder with Pullout Basket  Black","Amazon Basics","Office Products","$12,950,814.20","40,052","$323.35","$73.40","$249.95","22","210236","6","4","12/20/2022","Amazon Warehouse","4.6","18.35"" x 14.02"" x 22.83""","Small oversize","34.6 lbs"
"B09LHPWVZK","Latepis Area Rugs 12x12 Black Fuzzy Rug Washable Rugs Faux Sheepskin Rug Fur Rug for Living Room and Bedroom Shag Rug Fluffy Rug for Floor Sofa Entertainment Room  Square","Latepis","Home & Kitchen","$3,921,901.95","9,805","$379.99","N.A.","N.A.","1,396","2737","6","1","12/27/2022","Amazon","4.3","N.A.","N.A.","N.A."
"B0BYXNHR1F","Molblly Queen Mattress14 Inch Hybrid Mattress in a Box with Gel Memory Foam  Individually Wrapped Pocket Coils Innerspring  Pressure-Relieving and Supportive  Non-Fiberglass Queen Size","Molblly","Home & Kitchen","$3,819,298.12","18,188","$199.99","N.A.","N.A.","227","2918.6","7","1","12/26/2022","Amazon","4.2","N.A.","N.A.","N.A."
"B0B3VFXYWW","LOAAO 96X36 LED Bathroom Mirror with Lights  Anti-Fog  Dimmable  Backlit + Front Lit  Lighted Bathroom Vanity Mirror for Wall  Memory Function  Tempered Glass  Shatter-Proof  ETL Listed","LOAAO","Home & Kitchen","$3,780,776.37","2,363","$1,599.99","N.A.","N.A.","15,817","802","7","31","12/14/2022","Amazon","4.6","N.A.","N.A.","N.A."
"B07BQRWTDJ","SoundAsleep Dream Series Luxury Air Mattress with ComfortCoil Technology & Built-in High Capacity Pump for Home Camping- Double Height  Adjustable  Inflatable Blow Up  Portable - California King XL","SoundAsleep Products","Sports & Outdoors","$3,743,942.85","20,243","$184.95","N.A.","N.A.","29","57437","7","1","12/08/2022","Amazon","4.4","N.A.","N.A.","N.A."
"B0BQ9DGFCT","Crocs Unisex-Adult Classic Clogs (Best Sellers)","Store, Crocs Crocs Visit the","Clothing, Shoes & Jewelry","$3,487,029.00","89,411","$39.00","N.A.","N.A.","N.A.","381611","5","6","12/15/2022","D'Box","4.8","N.A.","N.A.","N.A."
"B0CLRR2WG5","IMBZBK [5+5 Pack] for Samsung Galaxy S23 Ultra Camera Lens Protector Accessories Cover Camera Screen Protector Tempered Glass for Samsung Galaxy S23 Ultra Aluminum Edge Metal Case Friendly  Silver","IMBZBK","Electronics","$3,357,018.69","258,431","$11.49","N.A.","N.A.","79,452","935.5","7","1","12/11/2022","Amazon","4.5","N.A.","N.A.","N.A."
"B0CKVRVCXR","Amazon Basics Dog and Puppy Pee Pads with 5-Layer Leak-Proof Design and Quick-Dry Surface for Potty Training  Regular  22 x 22 Inch  Scented - Pack of 150","Amazon Basics","Pet Supplies","$3,327,843.96","91,074","$27.48","$14.42","$13.06","2","244592","6","1","12/17/2022","Amazon.com","4.5","22.00"" x 22.00"" x 0.02""","Small oversize","1.06 lbs"
"B0BWCC4P31","Sweet Home Collection 7 Piece Comforter Set Bag Solid Color All Season Soft Down Alternative Blanket & Luxurious Microfiber Bed Sheets  Siena  Twin (Pack of 4  28 Count Total)","Sweet Home Collection","Home & Kitchen","$2,953,182.96","13,426","$107.98","N.A.","N.A.","512","24639.75","7","1","12/25/2022","Amazon.com","4.6","N.A.","N.A.","N.A."
"B0CNGSYVMQ","Sperax Walking Pad Under Desk Treadmill Treadmills for Home Walking Pad Treadmill Under Desk 320 Lb Capacity","Sperax","Sports & Outdoors","$2,639,890.00","11,000","$239.99","$90.97","$149.02","271","1336","7","8","12/24/2022","Amazon Warehouse","4.4","49.00"" x 22.55"" x 5.50""","Medium oversize","20.34 kg"
"B0BNFGRNX7","Apple Watch Series 8 [GPS  41mm] - Midnight Aluminum Case with Midnight Sport Band  M/L (Renewed)","Apple","Electronics","$2,613,000.00","9,750","$268.00","N.A.","N.A.","24,741","46","6","1","12/19/2022","Sole Providers","4.4","N.A.","N.A.","N.A."
"B0CKXX22CP","GuruNanda Coconut Oil Pulling with 7 Natural Essential Oils and Vitamin D  E  K2  Alcohol Free Mouthwash (Mickey D)  Helps with Fresh Breath  Teeth Whitening  Gum Health (8 Fl. Oz x 3)","GuruNanda","Health & Household","$2,606,788.14","65,186","$39.99","$11.79","$28.20","30","2315","7","1","12/25/2022","Amazon","4.6","10.75"" x 8.54"" x 4.09""","Large standard-size","2.82 lbs"
