JUNGLESCOUT WEBAPP CSV EXPORT 
Report Generated at: Thu Nov 16 2023 23:35:34 GMT-0500 (Eastern Standard Time)
ASIN,Product Name,Brand,Category,Est. Monthly Revenue,Est. Monthly Sales,Price,Fees,Net,Rank,Reviews,LQS,Sellers,Date First Available,Buy Box Owner,Rating,Dimensions,Product Tier,Weight
"B09Z3C8NMG","4Patriots: 1-Year Survival Food Kit - Emergency Food Supply  Freeze Dried Food  Designed To Last 25 Years  2 752 Servings  541 760 Total Calories  Disaster-Resistant Packaging","4Patriots","Tools & Home Improvement","$9,193,248.00","3,288","$2,796.00","$789.96","$2,006.04","6,136","3893","7","2","02/23/2023","4Patriots","4.4","200.00"" x 144.00"" x 56.00""","Special oversize","368 lbs"
"B0B4P1Y883","FXW Rollick Dog Playpen  45"" Height for Small/Medium/Large Dogs  Designed for Camping  Yard  32 Panels","FXW","Pet Supplies","$6,071,898.80","10,120","$279.99","$294.66","-$14.67","642","10505.5","7","1","02/15/2023","MEEPOLINK","4.7","46.30"" x 28.94"" x 21.26""","Special oversize","157.02 lbs"
"B0BTY2SWRZ","Molblly California King Mattress  10 inch Gel Memory Foam Mattress with CertiPUR-US Bed Mattress in a Box for Sleep Cooler & Pressure Relief","Molblly","Home & Kitchen","$4,536,448.78","15,122","$274.99","N.A.","N.A.","392","16996.5","7","1","02/18/2023","Amazon","4.4","N.A.","N.A.","N.A."
"B0CK2VWTT5","Westinghouse Outdoor Power Equipment 12500 Peak Watt Tri-Fuel Home Backup Portable Generator  Remote Electric Start  Transfer Switch Ready  Gas  Propane  and Natural Gas Powered  CARB Compliant Blue","Westinghouse Outdoor Power Equipment","Patio, Lawn & Garden","$4,334,385.00","3,615","$1,199.00","N.A.","N.A.","809","234","7","2","02/09/2023","Amazon Warehouse","4.7","N.A.","N.A.","N.A."
"B0CDK2H5XB","Stanley Quencher H2.0 FlowState Stainless Steel Vacuum Insulated Tumbler with Lid and Straw for Water  Iced Tea or Coffee  Smoothie and More","Stanley","Home & Kitchen","$4,286,700.00","95,260","$34.99","$15.58","$19.41","1","30740","7","40","02/19/2023","Amazon Warehouse","4.7","13.39"" x 8.11"" x 6.93""","Large standard-size","0.66 kg"
"B0C59XX45F","Audio-Technica AT-LP60XBT Fully Automatic Bluetooth Belt-Drive Stereo Turntable  Lilac  Hi-Fi  2 Speed  Dust Cover  Anti-Resonance  Die-cast Aluminum Platter (Limited Edition)","Audio-Technica","Electronics","$4,217,283.00","19,257","$219.00","N.A.","N.A.","N.A.","7069","5","2","02/05/2023","Amazon Warehouse","4.7","N.A.","N.A.","N.A."
"B08WKVKQZ4","Graco 3-in-1 Car Seat SlimFit3 LX  Stanford","Graco","Baby","$4,140,312.00","15,683","$264.00","$84.01","$179.99","255","45571","5","2","02/24/2023","Piccolino Baby","4.9","24.50"" x 16.70"" x 24.50""","Medium oversize","19.2 lbs"
"B0C3XDJJKD","JOYMOOP Mop and Bucket with Wringer Set  Flat Mop and Bucket System  Microfiber Mops for Floor Cleaning and Wall Cleaner  Mop Set with 2 Mops and 8 Large Microfiber Pads - Green","JOYMOOP","Health & Household","$3,976,102.00","36,478","$109.00","$30.61","$78.39","475","17731","7","1","02/14/2023","Amazon Warehouse","4.3","13.31"" x 8.60"" x 17.72""","Small oversize","8.2 lbs"
"B0BTPWFD2Y","MUNBYN 4x6 Inch Direct Thermal Labels  6000 Labels/12 Stacks(500 Pcs per Stack)  Fanfold Shipping Label Paper for Thermal Printers  Permanent Adhesive Mailing Postage Labels for Shipping Packages","MUNBYN","Industrial & Scientific","$3,932,428.02","17,099","$229.98","$48.70","$181.28","57","11697","7","1","02/01/2023","Amazon","4.8","11.81"" x 7.87"" x 7.09""","Small oversize","32.78 lbs"
"B0CHBRDZ84","Graco 4Ever DLX SnugLock Grow 4-in-1 Car Seat | Featuring Easy Installation and Expandable Backrest  Richland","Graco","Baby","$3,196,085.85","11,415","$279.99","$97.41","$182.58","233","23217","7","3","02/22/2023","Amazon.com","4.9","26.00"" x 20.00"" x 26.00""","Medium oversize","22 lbs"
