JUNGLESCOUT WEBAPP CSV EXPORT 
Report Generated at: Thu Nov 16 2023 23:24:45 GMT-0500 (Eastern Standard Time)
ASIN,Product Name,Brand,Category,Est. Monthly Revenue,Est. Monthly Sales,Price,Fees,Net,Rank,Reviews,LQS,Sellers,Date First Available,Buy Box Owner,Rating,Dimensions,Product Tier,Weight
"B0BT8T2FQ3","Fruit of the Loom Men's Eversoft Cotton Stay Tucked Crew T-Shirt","Fruit of the Loom","Clothing, Shoes & Jewelry","$16,777,355.70","64,830","$33.66","$50.97","-$17.31","24","110544.75384615385","5","3","01/26/2023","SB Tees Sportswear Inc.","4.6","2.90"" x 9.10"" x 16.20""","Large standard-size","2.2708 lbs"
"B08DK8RYDR","Qutuus Large Kraft Shopping Bags with Handles - 16x6x12 Inch 300 Pcs Brown Paper Bags with Handles Bulk  Gift Bags Bulk  Large Paper Bags for Small Business  Boutique Bags  Retail Bags in Bulk","Qutuus","Health & Household","$5,087,810.79","33,921","$30.99","$47.02","-$16.03","1,509","12655","7","1","01/25/2023","QUTUUS","4.7","20.00"" x 17.20"" x 16.60""","Small oversize","40.25 lbs"
"B0BGMBBPG6","Aluf Plastics HCR-303708C High Density Star Sealed Coreless Roll Bags  30 gal  Polyethylene  30"" x 37""  Clear (1 Pallet of 100 Packs  50000 Count Total)","Aluf Plastics","Health & Household","$4,405,995.00","1,485","$2,967.00","$1,380.46","$1,586.54","68,668","1328","6","1","01/10/2023","Amazon.com","4.1","160.00"" x 110.00"" x 36.30""","Special oversize","1083 lbs"
"B0CL9X6WYY","CAROTE 21pcs Pots and Pans Set  Nonstick Cookware Set Detachable Handle  Induction Kitchen Cookware Sets Non Stick with Removable Handle  RV Cookware Set  Oven Safe Cookware Set","CAROTE","Kitchen & Dining","$3,715,301.44","21,856","$169.99","N.A.","N.A.","95","8437","6","1","01/03/2023","Amazon","4.4","N.A.","N.A.","N.A."
"B0BTY2SWRZ","Molblly Twin XL Mattress  10 inch Gel Memory Foam Mattress with CertiPUR-US Bed Mattress in a Box for Sleep Cooler & Pressure Relief  Twin XL Size  80""X39""","Molblly","Home & Kitchen","$3,631,288.69","15,131","$169.99","N.A.","N.A.","392","16999","7","1","01/02/2023","Amazon","4.4","N.A.","N.A.","N.A."
"B0BWCC4P31","Sweet Home Collection 7 Piece Comforter Set Bag Solid Color All Season Soft Down Alternative Blanket & Luxurious Microfiber Bed Sheets  Sorento  Full (Pack of 4  28 Count Total)","Sweet Home Collection","Home & Kitchen","$3,612,597.80","15,055","$194.97","N.A.","N.A.","512","25628.333333333332","7","1","01/08/2023","Amazon.com","4.6","N.A.","N.A.","N.A."
"B0CLRR2WG5","IMBZBK [5+5 Pack] for Samsung Galaxy S23 Ultra Camera Lens Protector Accessories Cover Camera Screen Protector Tempered Glass for Samsung Galaxy S23 Ultra Aluminum Edge Metal Case Friendly  Green","IMBZBK","Electronics","$3,199,151.22","246,278","$12.99","N.A.","N.A.","56,875","928","7","1","01/02/2023","Amazon","4.5","N.A.","N.A.","N.A."
"B0C663Z8JD","Stanley IceFlow Stainless Steel Tumbler with Straw  Vacuum Insulated Water Bottle for Home  Office or Car  Reusable Cup with Straw Leakproof Flip","Stanley","Kitchen & Dining","$3,140,885.00","57,107","$35.00","$14.98","$20.02","4","18959.619047619046","7","6","01/22/2023","Amazon Warehouse","4.7","9.72"" x 5.71"" x 5.51""","Large standard-size","1.02 kg"
"B0B4P1Y883","FXW Rollick Dog Playpen  45"" Height for Small/Medium/Large Dogs  Designed for Camping  Yard  16 Panels","FXW","Pet Supplies","$2,608,739.66","10,034","$209.99","$96.61","$113.38","605","10515","7","1","01/03/2023","MEEPOLINK","4.7","46.30"" x 28.94"" x 10.63""","Medium oversize","78.51 lbs"
"B0B6W5C5QC","Bedsure King Size Comforter Set - Bedding Set King 7 Pieces  Pintuck Bed in a Bag Burgundy Bed Set with Comforter  Sheets  Pillowcases & Shams","Bedsure","Home & Kitchen","$2,606,727.42","33,858","$51.99","N.A.","N.A.","36","50460.57894736842","6","1","01/17/2023","Amazon","4.5","N.A.","N.A.","N.A."
