JUNGLESCOUT WEBAPP CSV EXPORT 
Report Generated at: Fri Nov 17 2023 21:32:56 GMT-0500 (Eastern Standard Time)
ASIN,Product Name,Brand,Category,Est. Monthly Revenue,Est. Monthly Sales,Price,Fees,Net,Rank,Reviews,LQS,Sellers,Date First Available,Buy Box Owner,Rating,Dimensions,Product Tier,Weight
"B0CM7PJDL4","Beats Studio Pro - Wireless Bluetooth Noise Cancelling Headphones - Personalized Spatial Audio  USB-C Lossless Audio  Apple & Android Compatibility  Up to 40 Hours Battery Life - Black","Beats","Electronics","$6,665,725.50","22,470","$296.65","N.A.","N.A.","N.A.","1019","7","31","07/18/2023","Amazon Warehouse","4.4","N.A.","N.A.","N.A."
"B0CFTKL47H","Airmoto Tire Inflator Portable Air Compressor - Air Pump for Car Tires w/Digital Tire Pressure Gauge - Air Compressor for Car (120 PSI) - Motorcycle  Electric Bike Pump and Bicycle Pump (3-Pack)","Airmoto","Automotive","$6,168,582.00","32,638","$184.00","$29.11","$154.89","8","5141.5","7","1","07/07/2023","Amazon","4.4","8.82"" x 6.97"" x 4.06""","Large standard-size","3.72 lbs"
"B0CNKNDN5J","Stanley Quencher H2.0 FlowState Stainless Steel Vacuum Insulated Tumbler with Lid and Straw for Water  Iced Tea or Coffee  Smoothie and More  Orchid  40 oz","Stanley","Home & Kitchen","$4,271,580.00","94,924","$45.00","$14.38","$30.62","1","1821","7","30","07/16/2023","Amazon Warehouse","4.8","10.94"" x 9.96"" x 4.53""","Large standard-size","0.67 kg"
"B099PWJT36","Orgain 3.15 LBS Organic Plant Based Protein Powder  Vanilla Bean","Orgain","Health & Household","$3,911,127.57","85,043","$45.99","$13.33","$32.66","166,237","7","4","4","07/20/2023","Amazon","3.7","9.53"" x 5.94"" x 5.87""","Large standard-size","3.15 lbs"
"B0CNKN3X4J","Stanley Quencher H2.0 FlowState Stainless Steel Vacuum Insulated Tumbler with Lid and Straw for Water  Iced Tea or Coffee  Smoothie and More  Orchid  30 oz","Stanley","Home & Kitchen","$3,314,185.00","94,691","$35.00","$11.68","$23.32","1","1425","7","14","07/16/2023","Amazon Warehouse","4.7","11.26"" x 5.20"" x 3.66""","Large standard-size","0.54 kg"
"B09XZGN2LT","Aerostar 18x18x1 MERV 8 Pleated Air Filter  AC Furnace Air Filter  6 Pack (Actual Size: 17 3/4""x17 3/4""x3/4"") & 14x14x1 MERV 13 Pleated Air Filter  AC Furnace Air Filter  6 Pack","Aerostar","Tools & Home Improvement","$2,952,372.42","31,959","$92.38","N.A.","N.A.","64","39079","7","1","07/10/2023","Amazon.com","4.7","N.A.","N.A.","N.A."
"B0CH33PPCD","Kwikset Pismo Door Knob Set  10 Pack with 5 Non-Locking Passage and 5 Locking Keyless Privacy Handles  with Round Rose  Featuring Microban Protection in Satin Nickel","Kwikset","Tools & Home Improvement","$2,900,758.50","12,255","$189.36","N.A.","N.A.","318","6543","7","1","07/24/2023","Amazon Warehouse","4.7","N.A.","N.A.","N.A."
"B0CCCC19Z3","40 Pac Brita Ultra Max Dispenser with Longlast Filters  Extra Large 18 Cup - Black","Brita","Home & Kitchen","$2,872,667.70","19,530","$147.09","N.A.","N.A.","367","8","4","2","07/19/2023","Taffol","3.9","N.A.","N.A.","N.A."
"B0CBNJBZ54","DJI Osmo Mobile 6 Premium Vlogging Combo  3-Axis Phone Gimbal  Object Tracking  Built-in Extension Rod  Android and iPhone Stabilizer  Platinum Gray  with a DJI Mic (2 TX + 1 RX + Charging Case)","DJI","Cell Phones & Accessories","$2,823,810.00","7,095","$308.00","N.A.","N.A.","477","7275.2","7","1","07/05/2023","Amazon.com","4.6","N.A.","N.A.","N.A."
"B0CNGPW5SG","Homeika Cordless Vacuum Cleaner  20Kpa Powerful Suction Vacuum Cleaner with LED Display  30 Min Runtime Detachable Battery  1.5L Dust Cup  for Carpet and Hard Floor Pet Hair (Black)","Homeika","Home & Kitchen","$2,705,863.99","24,601","$109.99","N.A.","N.A.","736","5727","7","3","07/14/2023","Amazon","4.2","N.A.","N.A.","N.A."
