JUNGLESCOUT WEBAPP CSV EXPORT 
Report Generated at: Fri Nov 17 2023 21:31:25 GMT-0500 (Eastern Standard Time)
ASIN,Product Name,Brand,Category,Est. Monthly Revenue,Est. Monthly Sales,Price,Fees,Net,Rank,Reviews,LQS,Sellers,Date First Available,Buy Box Owner,Rating,Dimensions,Product Tier,Weight
"B0C62N4JNZ","Bio-Oil Skincare Body Oil  Vitamin E  Serum for Scars & Stretchmarks  Face & Body Moisturizer  2 oz  All Skin Types (Pack of 24)","Bio-Oil","Beauty & Personal Care","$12,447,619.92","51,917","$239.76","$39.50","$200.26","N.A.","94262","7","1","06/20/2023","Amazon.com","4.6","5.75"" x 4.56"" x 9.81""","Large standard-size","2.88 lbs"
"B0B2MD6NQ8","FDW 12 inch Gel Memory Foam Mattress Medium Firm Mattresses for Cool Sleep Relieving Pressure Relief CertiPUR-US Certified Mattress in a Box (King)","FDW","Home & Kitchen","$11,162,243.26","33,089","$337.34","$192.06","$145.28","96","15899","7","100","06/06/2023","Best Massage Store","4.5","80.00"" x 76.00"" x 12.00""","Special oversize","78 lbs"
"B0C8BJL1D3","Crocs Unisex-Adult Classic Clogs","Crocs","Clothing, Shoes & Jewelry","$10,148,787.00","102,513","$37.97","$18.62","$19.35","1","509666.4424778761","4","1","06/15/2023","Amazon Global Store UK","4.791858407079646","3.40"" x 7.50"" x 8.90""","Large standard-size","0.549 lbs"
"B07DD36B68","Heavy Duty White Poly Tarp 120' x 120' Multipurpose Protective Cover - Durable  Waterproof  Weather Proof  Rip and Tear Resistant - Extra Thick 12 Mil Polyethylene - by Xpose Safety","Xpose Safety","Tools & Home Improvement","$8,597,465.61","3,439","$2,499.99","N.A.","N.A.","2,021","3940","7","1","06/14/2023","All In Safety","4.6","N.A.","N.A.","N.A."
"B0CN3WR4QV","Liquid I.V. Sugar-Free Hydration Multiplier - Lemon Lime – Sugar-Free Hydration Powder Packets | Electrolyte Drink Mix | Easy Open Single-Serving Stick | Non-GMO | 168 Sticks","Liquid I.V.","Health & Household","$8,258,427.00","36,063","$64.99","$43.29","$21.70","180","4650.333333333333","6","11","06/21/2023","Amazon","4.5","16.00"" x 14.75"" x 3.00""","Small oversize","6.42 lbs"
"B0CN5KY5SR","[6-in-1] Milomdoi for Samsung Galaxy Z Fold 5 Privacy Screen Protector [2 Pack Inside and 2 Pack Front] With 2 Pack Tempered Glass Camera Lens Protector with Mounting Positioner Accessories No bubbles","Milomdoi","Electronics","$7,655,727.24","255,276","$29.99","N.A.","N.A.","N.A.","581","7","1","06/25/2023","Amazon","3.8","N.A.","N.A.","N.A."
"B0BTY2SWRZ","Molblly King Mattress  14 inch Gel Memory Foam Mattress with CertiPUR-US Bed Mattress in a Box for Sleep Cooler & Pressure Relief  King Size  80""x76""  Grey","Molblly","Home & Kitchen","$6,294,642.63","15,737","$184.99","N.A.","N.A.","324","17007.833333333332","5","1","06/11/2023","Amazon","4.4","N.A.","N.A.","N.A."
"B0B4P1Y883","FXW Rollick Dog Playpen Designed for Outdoor  40 inch for Medium and Large Dogs  48 Panels","FXW","Pet Supplies","$5,923,437.87","10,213","$179.99","$347.75","-$167.76","597","10517.666666666666","7","1","06/08/2023","MEEPOLINK","4.7","39.60"" x 28.40"" x 27.30""","Special oversize","228.2 lbs"
"B08DK8RYDR","Qutuus Kraft Paper Bags 400 Pcs 10x5x13 Brown Paper Bags with Handles Bulk  Brown Gift Bags  Recycled Paper Shopping Bags  Paper Retail Bags  Paper Gift Bags","Qutuus","Health & Household","$5,769,959.13","48,087","$119.99","$42.14","$77.85","1,676","12658","7","1","06/21/2023","Amazon","4.7","21.50"" x 17.50"" x 15.00""","Small oversize","36.55 lbs"
"B0CDK2H5XB","Stanley Quencher H2.0 FlowState Stainless Steel Vacuum Insulated Tumbler with Lid and Straw for Water  Iced Tea or Coffee  Smoothie and More","Stanley","Home & Kitchen","$5,716,620.00","95,277","$60.00","$16.93","$43.07","1","30701","7","9","06/17/2023","Amazon Warehouse","4.7","12.68"" x 7.76"" x 5.39""","Large standard-size","0.83 kg"
