JUNGLESCOUT WEBAPP CSV EXPORT 
Report Generated at: Fri Nov 17 2023 15:36:21 GMT-0500 (Eastern Standard Time)
ASIN,Product Name,Brand,Category,Est. Monthly Revenue,Est. Monthly Sales,Price,Fees,Net,Rank,Reviews,LQS,Sellers,Date First Available,Buy Box Owner,Rating,Dimensions,Product Tier,Weight
"B0BZ57XY5K","VINEVIDA Jasmine Essential Oil - Gallon Jasmine Oil Undiluted - Bulk Gallon Essential Oil for Soap Making Safe for Skin - DIY Candle Scents for Candlemaking Scents - 8 lbs Jasmine Oil","VINEVIDA","Health & Household","$11,153,438.13","687","$142.99","$2,443.18","-$2,300.19","35,536","2127.6464646464647","6","1","03/27/2023","VINEVIDA","4.4","6.25"" x 6.25"" x 11.00""","Large standard-size","8.45 lbs"
"B0CKXZLX6Q","Liquid I.V. Hydration Multiplier - Strawberry Lemonade - Hydration Powder Packets | Electrolyte Drink Mix | Easy Open Single-Serving Stick | Non-GMO | 192 Sticks","Liquid I.V.","Health & Household","$10,898,940.00","55,892","$44.00","$43.89","$0.11","77","770.3333333333334","7","10","03/14/2023","C.Bodent","4.8","16.38"" x 13.30"" x 9.61""","Small oversize","8.88 lbs"
"B0CM38QP1M","DIYMAG Magnetic Hooks  25Lbs Strong Heavy Duty Cruise Magnet S-Hooks for Classroom  Fridge  Hanging  Cabins  Grill  Kitchen  Garage  Workplace and Office etc  (1000 Pack-Silver) Screw in Hooks","DIYMAG","Industrial & Scientific","$6,831,571.10","12,890","$167.99","$70.93","$97.06","152","17252.25","6","1","03/12/2023","Amazon","4.3","14.29"" x 10.20"" x 6.10""","Large standard-size","1 lbs"
"B0BYXNHR1F","Molblly Full Mattress  12 Inch Firm Hybrid Mattress in a Box with Gel Memory Foam  Individually Wrapped Pocket Coils Innerspring  Pressure-Relieving and Supportive Non-Fiberglass Mattress Full Size","Molblly","Home & Kitchen","$6,831,170.24","18,976","$199.99","N.A.","N.A.","223","2916.6666666666665","6","1","03/18/2023","Amazon","4.2","N.A.","N.A.","N.A."
"B0BYYS5P3G","Govee Permanent Outdoor Lights  Smart RGBIC Outdoor Lights with 75 Scene Modes  150ft with 108 LED Eaves Lights IP67 Waterproof for Christmas Decorations  New Year  Work with Alexa  Google Assistant","Govee","Tools & Home Improvement","$6,167,494.41","20,559","$299.99","$53.23","$246.76","17","1026","6","31","03/27/2023","Amazon Warehouse","4.5","17.52"" x 10.44"" x 6.08""","Large standard-size","9.7 lbs"
"B09XZGN2LT","Aerostar 16x25x4 MERV 8 Pleated Air Filter  AC Furnace Air Filter & 16x20x4 MERV 13 Pleated Air Filter  AC Furnace Air Filter  6 Pack (Actual Size: 15 1/2""x19 1/2""x3 3/4"")","Aerostar","Tools & Home Improvement","$5,682,635.21","27,139","$103.48","N.A.","N.A.","73","38353","7","1","03/04/2023","Amazon.com","4.7","N.A.","N.A.","N.A."
"B0BRD8LDZ6","humanN SuperBeets Heart Chews - Nitric Oxide Production Support - Grape Seed Extract & Non-GMO Beet Energy Chews - Pomegranate Berry Flavor - 120 Count (Total)","humanN","Health & Household","$4,987,970.19","65,709","$75.91","$14.93","$60.98","66","58557","6","4","03/30/2023","Amazon","4.5","7.21"" x 5.39"" x 4.90""","Large standard-size","0.02 lbs"
"B0BRNBRNZP","Molblly California King Size Mattress  12 inch Cooling-Gel Memory Foam Mattress in a Box  Fiberglass Free Breathable Bed Mattress for Cooler Sleep Supportive & Pressure Relief， 72"" X 84"" X 12""","Molblly","Home & Kitchen","$4,663,277.24","20,276","$159.99","N.A.","N.A.","135","23578.777777777777","6","1","03/10/2023","Amazon","4.3","N.A.","N.A.","N.A."
"B00JH98GR4","Shark NV360 Navigator Lift-Away Deluxe Upright Vacuum with Large Dust Cup Capacity  HEPA Filter  Swivel Steering  Upholstery Tool & Crevice Tool  Blue","Shark","Home & Kitchen","$4,652,465.65","29,087","$159.95","$45.85","$114.10","327","34914","7","35","03/20/2023","Amazon Warehouse","4.5","13.90"" x 15.10"" x 22.60""","Small oversize","18.0492 lbs"
"B0CNKNDN5J","Stanley Quencher H2.0 FlowState Stainless Steel Vacuum Insulated Tumbler with Lid and Straw for Water  Iced Tea or Coffee  Smoothie and More","Stanley","Home & Kitchen","$4,305,915.00","95,687","$45.00","$14.08","$30.92","1","646","7","15","03/11/2023","Amazon Warehouse","4.65","11.42"" x 8.46"" x 4.13""","Large standard-size","0.65 kg"
