JUNGLESCOUT WEBAPP CSV EXPORT 
Report Generated at: Fri Nov 17 2023 15:37:18 GMT-0500 (Eastern Standard Time)
ASIN,Product Name,Brand,Category,Est. Monthly Revenue,Est. Monthly Sales,Price,Fees,Net,Rank,Reviews,LQS,Sellers,Date First Available,Buy Box Owner,Rating,Dimensions,Product Tier,Weight
"B0C4CL8QB3","(10 000 Rolls) 3 1/8 x 230 Thermal Paper Receipt Rolls (55 GSM Premium Quality German Paper) Fits All POS Cash Registers BPA Free - BuyRegisterRolls","BuyRegisterRolls","Office Products","$209,027,825.81","17,419","$784.99","$1,818.44","-$1,033.45","156","6165.175","5","1","05/01/2023","BuyRegisterRolls®","4.7","15.00"" x 15.00"" x 7.00""","Small oversize","26 lbs"
"B0C35921LF","Colgate Extra Clean Toothbrush  Plus Medium  72 Count","Colgate","Health & Household","$6,401,708.62","71,138","$89.99","$25.10","$64.89","359,947","103808","5","1","05/24/2023","Amazon.com","4.6","11.40"" x 10.25"" x 9.35""","Small oversize","3.55 lbs"
"B0C35XNRDF","Colgate Extra Clean Toothbrush  Plus Soft  72 Count","Colgate","Health & Household","$5,144,069.00","48,188","$106.75","$27.61","$79.14","550,430","103876","5","2","05/29/2023","Amazon.com","4.6","11.30"" x 10.10"" x 9.40""","Small oversize","3.65 lbs"
"B0BYXNHR1F","Molblly Mattress  12 Inch Hybrid Firm Mattress in a Box with Gel Memory Foam  Individually Wrapped Pocket Coils Innerspring  Pressure-Relieving and Supportive Non-Fiberglass Queen Size","Molblly","Home & Kitchen","$5,043,683.19","18,681","$269.99","N.A.","N.A.","312","2921","6","1","05/23/2023","Amazon","4.2","N.A.","N.A.","N.A."
"B0CKFJX2M7","HIQILI Ginger Essential Oil  1000ml","HIQILI","Health & Household","$4,605,342.00","65,800","$69.99","$16.29","$53.70","65","28721","4","1","05/09/2023","N.A.","4.4","3.50"" x 3.46"" x 11.88""","Large standard-size","2.98 lbs"
"B0CK2VWTT5","Westinghouse Outdoor Power Equipment 13500 Peak Watt Tri-Fuel Home Backup Portable Generator  Remote Electric Start  Transfer Switch Ready  Gas  Propane  and Natural Gas Powered  CARB Compliant","Westinghouse Outdoor Power Equipment","Patio, Lawn & Garden","$4,312,680.00","3,320","$819.50","N.A.","N.A.","868","35.5","7","2","05/03/2023","Amazon Warehouse","4.95","N.A.","N.A.","N.A."
"B089VZSC83","Bedsure XXL Orthopedic Dog Bed - Washable Great Dane Dog Sofa Bed for Giant Dogs  Supportive Foam Pet Couch Bed with Removable Washable Cover  Waterproof Lining and Nonskid Bottom  Black","Bedsure","Pet Supplies","$4,230,271.29","36,471","$57.49","$130.79","-$73.30","112","32909.666666666664","6","1","05/10/2023","Amazon","4.6","53.00"" x 42.00"" x 8.00""","Large oversize","21.2 lbs"
"B0BV6JM41B","King Koil Luxury Air Mattress 16in California King with Built-in Pump for Home  Camping & Guests-Inflatable Airbed Luxury Double High Adjustable Blow Up Mattress  Durable - Portable and Waterproof","King Koil","Sports & Outdoors","$3,615,516.30","21,274","$164.95","N.A.","N.A.","34","41703","7","1","05/02/2023","Amazon","4.4","N.A.","N.A.","N.A."
"B0C8GDCTC3","IYEE NATURE 14 inch Gel Memory Foam Mattress in a Box  Full Mattress Foam Bed Mattress Medium Firm Foam Mattress Full siaze Mattress Black","IYEE NATURE","Home & Kitchen","$3,266,069.03","12,097","$233.99","N.A.","N.A.","574","10518","7","1","05/23/2023","Amazon","4.4","N.A.","N.A.","N.A."
"B0CD6BRYSH","Kidde Fire Extinguisher for Home  1-A:10-B:C  Dry Chemical Extinguisher  Red  Mounting Bracket Included  6 Pack","Kidde","Tools & Home Improvement","$3,069,785.98","25,082","$122.39","N.A.","N.A.","64","19408","6","4","05/22/2023","Forthright Traders","4.7","N.A.","N.A.","N.A."
