JUNGLESCOUT WEBAPP CSV EXPORT 
Report Generated at: Fri Nov 17 2023 15:35:16 GMT-0500 (Eastern Standard Time)
ASIN,Product Name,Brand,Category,Est. Monthly Revenue,Est. Monthly Sales,Price,Fees,Net,Rank,Reviews,LQS,Sellers,Date First Available,Buy Box Owner,Rating,Dimensions,Product Tier,Weight
"B0C4CL8QB3","(48 Gsm Paper Thickness) 2 1/4 x 230ft 1-Ply Thermal Paper [2500 Rolls] BPA Free Cash Register Tape Sharp 01PU  01PU  ER-A520  ER-A530  UP-700  XE-A201  XE-A202  XE-A302 CBM262  CBM270","BuyRegisterRolls","Office Products","$46,620,420.69","17,931","$1,099.99","$398.94","$701.05","142","6165","5","2","11/03/2022","BuyRegisterRolls®","4.7","15.00"" x 15.00"" x 7.00""","Small oversize","1.69 lbs"
"B0C2CYC1G8","Renogy 60PCS Solar Panel 100 Watt 12 Volt  6KW High-Efficiency Monocrystalline PV Module Power Charger for Marine Rooftop Farm Boat Shed Home Rooftop Residential Commercial House  Pallet Pack of 60","Renogy","Patio, Lawn & Garden","$15,984,000.00","2,960","$5,400.00","N.A.","N.A.","1,015","6235","7","1","11/17/2022","Amazon.com","4.7","N.A.","N.A.","N.A."
"B0CMCLQ9CT","Liquid I.V. Hydration Multiplier + Immune Support -Wild Berry Blend - Hydration Powder Packets | Electrolyte Drink Mix | Easy Open Single-Serving Stick | Non-GMO | 168 Sticks","Liquid I.V.","Health & Household","$6,442,686.00","28,134","$149.50","$46.71","$102.79","2,150","5909","7","3","11/13/2022","Amazon","4.7","14.00"" x 11.30"" x 8.70""","Small oversize","7.7 lbs"
"B0C4CFW43M","K9 Advantix II XL Dog Vet-Recommended Flea  Tick & Mosquito Treatment & Prevention | Dogs Over 55 lbs. | 12-Mo Supply","K9 advantix","Pet Supplies","$4,255,783.20","26,280","$161.94","N.A.","N.A.","104","40902","6","1","11/01/2022","Amazon.com","4.5","N.A.","N.A.","N.A."
"B08P4TRQHJ","HP Original 952 Cyan  Magenta  Yellow Ink Cartridges | N9K27AN & 962XL Black High-Yield Ink Cartridge | 3JA03AN & 962 Cyan  Magenta  Yellow Ink Cartridges | 3YP00AN","HP","Office Products","$3,916,223.19","20,757","$181.17","N.A.","N.A.","78","12209","6","1","11/19/2022","Amazon.com","4.7","N.A.","N.A.","N.A."
"B08C1Y7QRG","Greenies Teenie Natural Dog Dental Treats  Sweet Potato Flavor  36 oz. Pack (130 Treats)","Greenies","Pet Supplies","$3,866,171.52","101,956","$27.95","$11.48","$16.47","98","28078","6","6","11/09/2022","Amazon.com","4.75","8.23"" x 7.91"" x 5.08""","Large standard-size","2.71 lbs"
"B0BWCC4P31","Sweet Home Collection 7 Piece Comforter Set Bag Solid Color All Season Soft Down Alternative Blanket & Luxurious Microfiber Bed Sheets  Genova  Full (Pack of 4  28 Count Total)","Sweet Home Collection","Home & Kitchen","$3,617,397.00","15,075","$239.96","N.A.","N.A.","590","25644","7","1","11/20/2022","Amazon.com","4.6","N.A.","N.A.","N.A."
"B0BN478RWJ","HP DeskJet 2755e Wireless Color All-in-One Printer & 67XL Tri-Color High-Yield Ink Cartridge | 3YM58AN & 67XL Black High-Yield Ink Cartridge | 3YM57AN","HP","Office Products","$3,384,616.95","24,585","$137.67","N.A.","N.A.","67","21840","7","1","11/19/2022","Amazon.com","4.2","N.A.","N.A.","N.A."
"B0BM4ZW8H2","PANDORA Jewelry Iconic Moments Snake Chain Charm Bracelet","PANDORA","Clothing, Shoes & Jewelry","$3,345,650.00","1,738","$62.89","$137.29","-$74.40","9,521","14178.133333333333","4","1","11/10/2022","Pattern -iServe-","4.506666666666666","1.70"" x 3.80"" x 4.20""","Large standard-size","0.2491 lbs"
"B09NQ4DGSQ","Garmin Fenix 7S Sapphire Solar  Smaller Adventure smartwatch & Fenix 7X Sapphire Solar  Larger Adventure smartwatch  with Solar Charging Capabilities  Rugged Outdoor Watch","Garmin","Electronics","$3,153,966.80","1,660","$1,453.81","N.A.","N.A.","3,959","819.5","7","1","11/08/2022","Amazon.com","4.6","N.A.","N.A.","N.A."
"B09H3Z8PJL","Franklin Sports Outdoor Pickleballs - X-40 Pickleball Balls - USA Pickleball (USAPA) Approved - Official US Open Ball - 3 Packs  12 Packs  36 Pickleball Buckets  100 + 400 Bulk Packs of Pickleballs","Franklin Sports","Sports & Outdoors","$2,784,475.98","30,602","$90.99","$30.95","$60.04","20","16374","7","8","11/01/2022","Amazon Warehouse","4.7","12.40"" x 10.60"" x 10.60""","Small oversize","1.86 kg"
"B0CBNJBZ54","DJI Osmo Mobile 6 Premium Vlogging Combo  Intelligent Phone Gimbal  Object Tracking  Built-in Extension Rod  Android and iPhone Stabilizer  Slate Gray  with a DJI Mic (2 TX + 1 RX + Charging Case)","DJI","Cell Phones & Accessories","$2,777,244.00","6,978","$398.00","N.A.","N.A.","528","7146","7","1","11/28/2022","Amazon.com","4.6","N.A.","N.A.","N.A."
"B0BNPR7ZL9","Chill Sack Bean Bag Chair with Nike Grind Foam: Giant 5' Memory Foam Furniture Bean Bag - Big Sofa with Plush Faux Long Fur Cover - Charcoal Gray","Chill Sack","Home & Kitchen","$2,775,340.47","8,953","$309.99","N.A.","N.A.","972,105","17981.333333333332","6","1","11/17/2022","Amazon.com","4.2","N.A.","N.A.","N.A."
"B0B53DWRVW","Mellanni Extra Deep Pocket California King Sheets - 4 Piece Iconic Collection Bedding Sheets & Pillowcases - Luxury  Ultra Soft  Cooling Bed Sheets - Extra Deep Pocket up to 21"" (Cal King  Blush Pink)","Mellanni","Home & Kitchen","$2,632,269.69","52,677","$44.97","N.A.","N.A.","43","340661","7","1","11/17/2022","Amazon Warehouse","4.5","N.A.","N.A.","N.A."
"B0BTKZTNFZ","Cricut Maker 3 Smart Cutting Machine - Iron-On Starter Bundle  Includes 5-Piece Tool Set  EasyPress 2 Heat Press  EasyPress Mat  Standard Grip Machine Mats  & Iron-On Vinyl Roll (Black)","Cricut","Arts, Crafts & Sewing","$2,582,867.92","4,168","$619.69","N.A.","N.A.","1,115","3278","5","1","11/13/2022","Amazon.com","4.7","N.A.","N.A.","N.A."
"B0CGXFRPHH","BLUEAIR Air Purifiers for Large Home Room  HEPASilent Air Purifiers for Bedroom  Air Purifiers for Pets Allergies Air Cleaner  Smart Air Purifier  Virus Air Purifier for Dust Mold  Blue Pure 311i+ Max","Blueair","Home & Kitchen","$2,582,013.93","8,607","$229.99","N.A.","N.A.","2,334","8951","8","23","11/20/2022","Amazon Warehouse","4.6","N.A.","N.A.","N.A."
"B0BHT3PDVG","Samsonite Freeform Hardside Expandable with Double Spinner Wheels  Carry-On 21-Inch  Dark Teal","Samsonite","Clothing, Shoes & Jewelry","$2,558,179.51","15,049","$169.99","N.A.","N.A.","885","11168","6","1","11/02/2022","Amazon Warehouse","4.5","N.A.","N.A.","N.A."
"B0BMQTZZT6","Mrs. Meyer's Fresh Cut Grass Liquid Hand Soap  12.5 FL OZ (Pack of 2)","MRS. MEYER'S CLEAN DAY","Beauty & Personal Care","$2,495,664.00","117,720","$21.20","$8.32","$12.88","7","3","4","2","11/16/2022","Amazon","5","7.60"" x 6.02"" x 3.35""","Large standard-size","1.87 lbs"
"B088KZKQKH","Amazon Basics 18-Sheet Micro-Cut Paper  CD  and Credit Card Shredder & Paper Shredder Sharpening & Lubricant Sheets - Pack of 12","Amazon Basics","Office Products","$2,481,632.64","12,608","$196.83","N.A.","N.A.","502","22117","7","1","11/27/2022","Amazon.com","4.6","N.A.","N.A.","N.A."
"B09C2P6149","Segway Ninebot E22/E25/E45 Electric KickScooter  300W Motor  13.7-28 Miles Range & 12.4-18.6 MPH  9"" Dual Density Tires  E-ABS Electronic Brake  Commuter E-Scooter for Adults","Segway","Sports & Outdoors","$2,434,781.70","3,195","$701.13","N.A.","N.A.","15,863","1994","7","1","11/20/2022","Amazon.com","4.3","N.A.","N.A.","N.A."
"B0CBGG9P3V","Dymatize ISO100 Whey Protein Powder with 25g of Hydrolyzed 100% Whey Isolate  Gluten Free  Fast Digesting  Chocolate Peanut Butter  20 Servings","Dymatize","Health & Household","$2,426,434.48","58,412","$41.54","$12.02","$29.52","120","26891","7","1","11/02/2022","Amazon.com","4.5","5.90"" x 5.90"" x 8.75""","Large standard-size","1.44 lbs"
"B077YQKX8V","Amazon Basics Enameled Cast Iron Covered Dutch Oven  7.3-Quart  Red & 6-Outlet  200 Joule Surge Protector Power Strip  2 Foot  Black - Pack of 2","Amazon Basics","Kitchen & Dining","$2,381,954.40","35,070","$67.92","N.A.","N.A.","67","36163","7","1","11/27/2022","Amazon.com","4.7","N.A.","N.A.","N.A."
"B0BT16DFHB","K9 Advantix II Medium Dog Vet-Recommended Flea  Tick & Mosquito Treatment & Prevention | Dogs 11-20 lbs. | 12-Mo Supply","K9 advantix","Pet Supplies","$2,375,659.80","14,670","$161.94","N.A.","N.A.","346","27378","6","1","11/01/2022","Amazon.com","4.4","N.A.","N.A.","N.A."
"B0C98WHNRD","EF ECOFLOW 240V/7200Wh Home Battery Backup: 2 DELTA Pro with Double Voltage Hub  Lifepo4 Power Station  7200W Electric Generator for Home Use  Blackout  Emergency","EF ECOFLOW","Patio, Lawn & Garden","$2,260,660.00","340","$6,649.00","N.A.","N.A.","8,134","393","7","1","11/29/2022","EF ECOFLOW-US","4.5","N.A.","N.A.","N.A."
"B0BXV2BBYL","Prevagen Improves Memory - Regular Strength 10mg  60 Capsules |3 Pack| with Apoaequorin & Vitamin D with Attractive and Stackable Storage Box | Brain Supplement for Better Brain Health","Prevagen","Health & Household","$2,184,252.75","10,715","$137.90","$34.35","$103.55","1,982","1583","6","1","11/22/2022","Amazon","4.4","7.60"" x 4.57"" x 2.48""","Large standard-size","8.54 lbs"
"B0BM9K4H44","CRZ YOGA Butterluxe High Waisted Lounge Legging 25"" - Workout Leggings for Women Buttery Soft Yoga Pants","CRZ YOGA","Clothing, Shoes & Jewelry","$2,162,880.00","67,590","$32.00","N.A.","N.A.","21","20","5","2","11/13/2022","Amazon","4.7","N.A.","N.A.","N.A."
"B0CNCZRG1Y","Graco® Premier Modes™ Nest 3-in-1 Travel System  Midtown","Graco","Baby","$2,153,364.11","3,589","$599.99","$197.49","$402.50","644","9564","6","7","11/11/2022","Amazon Warehouse","4.7","38.07"" x 26.77"" x 41.85""","Special oversize","34.6 lbs"
"B0CFV2CZ4D","IYEE NATURE King Mattress  12 Inch Innerspring Hybrid Mattress in a Box Individually Pocket Coils for Motion Isolation King Bed with Cooling Cover King Mattress Medium Soft Orange","IYEE NATURE","Home & Kitchen","$2,121,838.00","7,342","$239.00","N.A.","N.A.","2,026","4136","7","1","11/13/2022","Amazon","4.3","N.A.","N.A.","N.A."
"B0BLL5KFCZ","PROMEDIX P Nitrile Gloves  4mil-100 Count  Gloves Disposable Latex Free  Disposable Gloves for Household  Food safe","PROMEDIX P","Tools & Home Improvement","$2,094,967.20","23,280","$22.91","$17.90","$5.01","83","6015.12","6","1","11/05/2022","Amazon","4.6","8.00"" x 4.00"" x 2.00""","Large standard-size","8 lbs"
"B0BN1H1LDC","Cricut Maker 3 Smart Cutting Machine - Card Making Bundle  Includes Insert Cards  Card Mat  5-Piece Tool Kit  & Fine Point Pen Set","Cricut","Arts, Crafts & Sewing","$2,080,406.90","4,433","$469.30","N.A.","N.A.","974","3276","7","1","11/13/2022","Amazon.com","4.7","N.A.","N.A.","N.A."
"B0C1X93JGP","Unique Loom Sofia Collection Area Rug - Casino (13' Square  Gray/ Beige)","Unique Loom","Home & Kitchen","$2,071,246.50","6,645","$59.21","N.A.","N.A.","1,366","36131.954545454544","6","2","11/03/2022","Amazon.com","4.4","N.A.","N.A.","N.A."
"B0B6W5C5QC","Bedsure King Size Comforter Set - Bedding Set King 7 Pieces  Pintuck Bed in a Bag Navy Blue Bed Set with Comforter  Sheets  Pillowcases & Shams","Bedsure","Home & Kitchen","$2,047,990.68","33,252","$45.04","$18.37","$26.67","32","50462.88","7","1","11/09/2022","Amazon Warehouse","4.5","7.32"" x 12.91"" x 17.20""","Large standard-size","12.3216 lbs"
"B0872YWPK8","Cuisinart CPT-142BK 4-Slice Compact Plastic Toaster  Black & DCC-3200BKSP1 Perfectemp  14 Cup Progammable with Glass Carafe Coffee Maker  Black Stainless Steel","Cuisinart","Kitchen & Dining","$2,047,169.88","17,206","$118.98","N.A.","N.A.","286","31699","7","1","11/03/2022","Amazon.com","4.2","N.A.","N.A.","N.A."
"B0C96PSTR7","Molblly Full Mattress  Extra Firm 10 Inch Cooling-Gel Memory Foam Mattress Bed in a Box Firm Full Bed Supportive & Pressure Relief Exetra Firm","Molblly","Home & Kitchen","$2,039,180.00","6,820","$299.00","N.A.","N.A.","1,561","8130","5","100","11/18/2022","Amazon","4.3","N.A.","N.A.","N.A."
"B0C3XDJJKD","JOYMOOP Mop and Bucket with Wringer Set  Flat Squeeze Mop Flat Head Mop Dust Mops for Wall Cleaner with Long Handle Wet and Dry Use Microfiber Mops for Floor Cleaning","JOYMOOP","Health & Household","$2,026,955.39","34,361","$58.99","$16.48","$42.51","609","17823","7","1","11/08/2022","Amazon Warehouse","4.3","9.05"" x 7.20"" x 15.15""","Large standard-size","4.39 lbs"
"B099J44BKW","Bedsure Cal King Comforter Set - Cooling and Warm Bed Set  Navy Blue Reversible All-Season Cooling Comforter  3 Pieces  1 California King Size Comforter (104""x96"") and 2 Pillow Cases (20""x36"")","Bedsure","Home & Kitchen","$1,972,919.70","27,030","$51.49","N.A.","N.A.","370","23590.09375","6","2","11/22/2022","Amazon Warehouse","4.6","N.A.","N.A.","N.A."
"B0B72G7XX3","FIXALL Skid Grip Anti-Slip Floor Coating  Interior/Exterior - 5 Gallon - Smoke","FIXALL","Tools & Home Improvement","$1,947,586.15","335","$2,994.23","$885.55","$2,108.67","37,513","1294","4","1","11/22/2022","ProSolutionsDirect","4.5","15.00"" x 15.00"" x 8.00""","Small oversize","11 lbs"
"B0BMJNLH8Q","Nike Men's Sportswear Cacao Wow/Black Tech Fleece Full-Zip Hoodie - L","Nike","Clothing, Shoes & Jewelry","$1,927,989.00","9,450","$204.02","N.A.","N.A.","36,388","5","5","3","11/14/2022","StealsN'Deals","3.9","N.A.","N.A.","N.A."
"B0BWMLVQ7T","Tide Laundry and Dish Bundle: Tide PODs Spring Meadow 112ct  Cascade Platinum Plus 52ct","Cascade","Health & Household","$1,927,538.90","40,855","$47.18","N.A.","N.A.","274","87662","6","1","11/13/2022","Amazon.com","4.8","N.A.","N.A.","N.A."
"B0CF65Z39Q","Mellow Marley 14 Inch Solid Wood Platform Bed with Paneled Headboard  Espresso  Full","Mellow","Home & Kitchen","$1,921,055.20","7,094","$201.09","N.A.","N.A.","1,793","17525","6","2","11/13/2022","Amazon.com","4.6","N.A.","N.A.","N.A."
"B0BLZMCMZP","Milk-Bone Soft & Chewy Dog Treats Made with Real Bacon  5.6 Ounce (Pack of 10)","Milk-Bone","Pet Supplies","$1,917,953.10","48,069","$39.90","$17.59","$22.31","53,659","12","6","1","11/09/2022","Amazon.com","4.9","11.80"" x 10.24"" x 8.22""","Small oversize","3.5 lbs"
"B0CK2XJQ9X","Simple Modern 40 oz Tumbler with Handle and Straw Lid | Insulated Cup Reusable Stainless Steel Water Bottle Travel Mug Cupholder Friendly | Gifts for Women Men Him Her | Trek Collection | Moonlight","Simple Modern","Kitchen & Dining","$1,900,466.30","63,370","$29.99","N.A.","N.A.","5","23965","6","4","11/14/2022","Amazon Warehouse","4.8","N.A.","N.A.","N.A."
"B0CBL8GSQ6","Rockland Prague Hardside Luggage with Spinner Wheels  Blue  3-Piece Set (20/24/28)","Rockland","Clothing, Shoes & Jewelry","$1,890,000.00","6,300","$300.00","N.A.","N.A.","2,829","42","6","1","11/27/2022","Amazon.com","4.5","N.A.","N.A.","N.A."
"B0CJ1PSL4R","Generac 7291 26kW Air Cooled Guardian Series Home Standby Generator with 200-Amp Transfer Switch - Comprehensive Protection - Smart Controls - Versatile Power - Wi-Fi Connectivity - Real-Time Updates","Generac","Patio, Lawn & Garden","$1,773,200.00","286","$6,200.00","N.A.","N.A.","28,743","254","7","11","11/01/2022","BrandNewEngines, Inc","4.4","N.A.","N.A.","N.A."
