JUNGLESCOUT WEBAPP CSV EXPORT 
Report Generated at: Fri Nov 17 2023 15:34:35 GMT-0500 (Eastern Standard Time)
ASIN,Product Name,Brand,Category,Est. Monthly Revenue,Est. Monthly Sales,Price,Fees,Net,Rank,Reviews,LQS,Sellers,Date First Available,Buy Box Owner,Rating,Dimensions,Product Tier,Weight
"B0CJ9QLVPP","Fruit of the Loom Men's Coolzone Boxer Briefs  Moisture Wicking & Breathable  Assorted Color Multipacks","Fruit of the Loom","Clothing, Shoes & Jewelry","$47,771,203.80","79,620","$24.21","$126.52","-$102.31","12","211462.71764705883","6","1","10/23/2022","TOP - DEALS","4.6","13.00"" x 8.00"" x 1.00""","Small oversize","41.6 lbs"
"B0CMXMNNCH","Apple iPad (10th Generation): with A14 Bionic chip  10.9-inch Liquid Retina Display  256GB  Wi-Fi 6  12MP front/12MP Back Camera  Touch ID  All-Day Battery Life – Silver","Apple","Electronics","$16,626,270.00","39,750","$399.00","N.A.","N.A.","N.A.","7269.666666666667","8","1","10/17/2022","Amazon Warehouse","4.8","N.A.","N.A.","N.A."
"B0BN12C1LH","BUNDLE Little Green Portable Carpet Cleaner + PET PRO OXY Spot & Stain Formula  32 oz.","Bissell","Home & Kitchen","$4,510,314.39","44,661","$100.99","N.A.","N.A.","6","65044","4","1","10/17/2022","Amazon.com","4.6","N.A.","N.A.","N.A."
"B0C3YLP9ZT","Travelers Club Chicago Hardside Expandable Spinner Luggages  Apple Butter  5 Piece Set","Travelers Club","Clothing, Shoes & Jewelry","$4,060,782.00","20,509","$55.21","$59.54","-$4.33","214","28317.6","6","4","10/27/2022","Amazon Warehouse","4.3","12.50"" x 20.00"" x 31.00""","Small oversize","28.4992 lbs"
"B0BMB6TFYS","Microsoft Surface Pro 9 (2022)  13"" 2-in-1 Tablet & Laptop  Thin & Lightweight  Intel 12th Gen i7 Fast Processor for Multi-Tasking  16GB Ram  1TB Storage with Windows 11  Platinum","Microsoft","Electronics","$3,444,761.00","2,089","$1,099.99","N.A.","N.A.","644","518.2","7","6","10/11/2022","Amazon Warehouse","4.5","N.A.","N.A.","N.A."
"B0BKH6CKDD","Gloria Vanderbilt Women's Amanda Jeans|Classic High Rise|Tapered Jean - Coffee Roast 14 Long","Gloria Vanderbilt","Clothing, Shoes & Jewelry","$3,359,070.00","86,130","$39.00","$12.44","$26.56","9","1","4","3","10/24/2022","Amazon","4","1.00"" x 1.00"" x 1.00""","Large standard-size","1 lbs"
"B08QTW5SFM","Advantage II Large Cat Vet-Recommended Flea Treatment & Prevention | Cats Over 9 lbs. | 8-Month Supply","Advantage","Pet Supplies","$3,311,620.20","35,245","$70.46","N.A.","N.A.","81","67649.5","6","1","10/05/2022","Amazon.com","4.5","N.A.","N.A.","N.A."
"B07LF4WF3B","goldenwarm Black Cabinet Pulls Kitchen Cabinet Handles-LSJ12BK458 Square Drawer Handles Metal Bathroom Cabinet Hardware 18in(458mm) Hole Centres 200 Pack","goldenwarm","Tools & Home Improvement","$3,205,266.26","3,374","$343.99","N.A.","N.A.","2,263","6540.739130434783","6","1","10/06/2022","GoldenwarmDirect","4.7","N.A.","N.A.","N.A."
"B0BWCC4P31","Sweet Home Collection 7 Piece Comforter Set Bag Solid Color All Season Soft Down Alternative Blanket & Luxurious Microfiber Bed Sheets  Pale Pink  Queen (Pack of 4  28 Count Total)","Sweet Home Collection","Home & Kitchen","$3,010,397.80","15,055","$199.96","N.A.","N.A.","512","25651","7","1","10/26/2022","Amazon.com","4.6","N.A.","N.A.","N.A."
"B0BJGQNMVG","Aerostar 20x25x4 MERV 11 Pleated Air Filter  AC Furnace Air Filter  6-Pack (Actual Size: 19 1/2""x24 1/2""x3 3/4"") & 12x12x1 MERV 13 Pleated Air Filter  AC Furnace Air Filter  6 Pack","Aerostar","Tools & Home Improvement","$2,819,661.00","19,700","$97.26","N.A.","N.A.","114","28332.333333333332","7","1","10/22/2022","Amazon.com","4.7","N.A.","N.A.","N.A."
"B0BKJRP2GK","Gloria Vanderbilt Women's Amanda Jeans|Classic High Rise|Tapered Jean - Coffee Roast 8 Long","Gloria Vanderbilt","Clothing, Shoes & Jewelry","$2,577,240.75","69,825","$36.91","$12.08","$24.83","9","1","4","3","10/24/2022","N.A.","5","1.00"" x 1.00"" x 1.00""","Large standard-size","1 lbs"
"B0CNGPW5SG","Homeika Stick Vacuum Cleaner Cordless  200W Powerful Suction 8 in 1 Stick Vacuum with LED Display  1.5L Dust Cup Up to 30 Min Runtime  for Carpet and Hard Floor Pet Hair (Green)","Homeika","Home & Kitchen","$2,538,349.22","23,078","$109.99","N.A.","N.A.","23,360","5727","7","3","10/16/2022","Amazon Warehouse","4.2","N.A.","N.A.","N.A."
"B0CF45JS9Y","Nizoral Anti-Dandruff Shampoo  7 oz + Deep Moisturizing Conditioner  11 oz Bundle","Nizoral","Beauty & Personal Care","$2,499,993.75","94,375","$26.49","$9.11","$17.38","13","87196","6","10","10/12/2022","Amazon.com","4.6","6.00"" x 2.00"" x 9.00""","Large standard-size","1.26 lbs"
"B0CK2XJQ9X","Simple Modern 40 oz Tumbler with Handle and Straw Lid | Insulated Cup Reusable Stainless Steel Water Bottle Travel Mug Cupholder Friendly Gifts for Women Him Her Trek Collection Black Leopard","Simple Modern","Kitchen & Dining","$2,226,973.54","63,646","$29.99","N.A.","N.A.","5","24042.1","6","10","10/27/2022","Amazon Warehouse","4.8","N.A.","N.A.","N.A."
"B0CKF2R6H7","Tide PODS Laundry Detergent Soap Pods  Spring Meadow Scent  112 count","Tide","Health & Household","$2,226,325.20","81,730","$23.59","$11.42","$12.17","36","123321","5","1","10/17/2022","Amazon.com","4.8","11.06"" x 9.09"" x 4.53""","Large standard-size","6.91 lbs"
