JUNGLESCOUT WEBAPP CSV EXPORT 
Report Generated at: Fri Nov 17 2023 21:34:22 GMT-0500 (Eastern Standard Time)
ASIN,Product Name,Brand,Category,Est. Monthly Revenue,Est. Monthly Sales,Price,Fees,Net,Rank,Reviews,LQS,Sellers,Date First Available,Buy Box Owner,Rating,Dimensions,Product Tier,Weight
"B0CHX77XKK","Fruit of the Loom Eversoft Fleece Elastic Bottom Sweatpants with Pockets  Relaxed Fit  Moisture Wicking  Breathable","Fruit of the Loom","Clothing, Shoes & Jewelry","$10,002,644.10","67,590","$13.49","$29.56","-$16.07","21","41511.12195121951","6","1","09/11/2023","Amazon.com","4.5","13.00"" x 8.00"" x 1.00""","Large standard-size","0.7297 lbs"
"B0CLJL13T2","Gildan Softstyle Cotton T-Shirt  Style G64000  Multipack","Gildan","Clothing, Shoes & Jewelry","$5,935,847.40","25,260","$12.58","N.A.","N.A.","277","14457.733944954129","5","2","09/13/2023","Amazon.com","4.5","N.A.","N.A.","N.A."
"B0BHT3PDVG","Samsonite Freeform Hardside Expandable with Double Spinner Wheels  Amethyst Purple  2-Piece Set (20/28)","Samsonite","Clothing, Shoes & Jewelry","$5,776,029.35","15,613","$369.95","N.A.","N.A.","614","11150","6","9","09/11/2023","Amazon Warehouse","4.6","N.A.","N.A.","N.A."
"B0CJGV6R83","DJI Mini 4 Pro Fly More Combo Plus with DJI RC 2 (Screen Remote Controller)  Folding Mini-Drone with 4K HDR Video Camera for Adults  2 Extra Intelligent Flight Batteries Plus for 45-Min Flight Time","DJI","Toys & Games","$4,392,702.72","3,948","$959.00","$172.69","$786.31","3,392","437.8","7","1","09/12/2023","Amazon Warehouse","4.5","5.83"" x 3.70"" x 2.52""","Large standard-size","2.09 lbs"
"B0C5F8T2TX","Vanicream Moisturizing Skin Cream with Pump Dispenser - 16 fl oz (1 lb) - Moisturizer Formulated Without Common Irritants for Those with Sensitive Skin (Pack of 12)","Vanicream","Beauty & Personal Care","$3,914,595.00","28,997","$135.00","$30.58","$104.42","N.A.","37655","7","4","09/10/2023","Amazon","4.7","16.02"" x 11.97"" x 6.65""","Large standard-size","16.48 lbs"
"B0B92BBHC8","Amorho LED Bathroom Mirror Large 88""x 38"" with Front Light and Backlit  Stepless Dimmable Wall Mirrors with Anti-Fog  Shatter-Proof  Memory  3 Colors  Double LED Vanity Mirror","Amorho","Home & Kitchen","$3,695,966.40","3,360","$909.99","N.A.","N.A.","8,983","1390","7","31","09/06/2023","Amazon","4.5","N.A.","N.A.","N.A."
"B0C4JSZBF4","Waterpik Aquarius Water Flosser with Implant Denture Replacement Tips - ADA Accepted Electric Flosser Improves Gum Health","Waterpik","Health & Household","$2,738,776.99","33,617","$81.47","$17.36","$64.11","401","129025","6","1","09/05/2023","Amazon.com","4.6","3.80"" x 4.70"" x 10.30""","Large standard-size","1.46 lbs"
"B09Y3WZKH3","frawirshau Women's Lace Up Boned Overbust Corset Bustier Lingerie Bodyshaper Top","frawirshau","Clothing, Shoes & Jewelry","$2,486,463.30","95,670","$25.99","$8.82","$17.17","6","16029","6","1","09/05/2023","Amazon","4","15.63"" x 6.10"" x 2.13""","Large standard-size","6.74 lbs"
"B0CHMD99Y4","EF ECOFLOW Solar Generators  DELTA2 Portable Power Station with 2PCS 100W 12V Solar Panels  1024Wh LFP Battery  Fast Charging  Power Station for Home Backup  Camping&RVs","EF ECOFLOW","Patio, Lawn & Garden","$2,486,286.00","1,914","$1,299.00","N.A.","N.A.","96,576","1106","6","1","09/13/2023","EF ECOFLOW-US","4.6","N.A.","N.A.","N.A."
"B0B5FHNRWT","Bloom Nutrition x Mama Karls Super Greens Powder Juice Mix - Probiotics for Digestive Health & Bloating Relief for Women  Digestive Enzymes w/Spirulina & Chlorella for Gut Health (Orange Passionfruit)","Bloom Nutrition","Health & Household","$2,407,198.05","60,195","$39.99","$9.77","$30.22","84","612","7","1","09/25/2023","N.A.","4.3","3.60"" x 3.60"" x 3.70""","Large standard-size","9.59 lbs"
"B0CJTM661D","Lilosy Sexy Underwire Cute Push Up Strappy Embroidered Mesh Sheer Lingerie Set See Through Panty Bra","Lilosy","Clothing, Shoes & Jewelry","$2,391,339.90","92,010","$25.99","$8.64","$17.35","7","263.2","6","1","09/25/2023","Amazon","4","7.50"" x 5.25"" x 1.57""","Large standard-size","2.4 lbs"
"B0CKMMWQ8Y","Samsonite Omni 2 Hardside Expandable Luggage with Spinner Wheels  ICY Lilac  2-Piece Set (20/28)","Samsonite","Clothing, Shoes & Jewelry","$2,389,091.40","5,430","$439.98","N.A.","N.A.","3,790","5538","6","8","09/17/2023","Amazon Warehouse","4.4","N.A.","N.A.","N.A."
"B0CJQHJJ11","Split King 7 Piece Sheet Set - Breathable & Cooling Bed Sheets - Hotel Luxury Bed Sheets for Women  Men  Kids & Teens - Deep Pockets - Easy Fit - Soft & Wrinkle Free - Split King Light Lavender Sheets","CGK Unlimited","Home & Kitchen","$2,276,320.55","37,945","$38.99","$15.73","$23.26","90","171474.2033898305","7","1","09/14/2023","N.A.","4.5","12.64"" x 10.00"" x 4.65""","Large standard-size","4.34 lbs"
"B0CK2XJQ9X","Simple Modern 40 oz Tumbler with Handle and Straw Lid | Insulated Reusable Stainless Steel Water Bottle Travel Mug Cupholder Use | Gifts for Women Men Him Her | Trek Collection | 40oz | 80s Mix","Simple Modern","Kitchen & Dining","$2,198,351.72","62,828","$34.99","N.A.","N.A.","6","24011.666666666668","6","7","09/10/2023","Amazon Warehouse","4.8","N.A.","N.A.","N.A."
"B0CMQSK2FH","EGO SNT2800 28 inch Self-Propelled 2-Stage Snow Blower with Peak Power™  Battery and Charger not Included","EGO Power+","Patio, Lawn & Garden","$2,079,113.00","1,387","$1,499.00","N.A.","N.A.","N.A.","212","6","4","09/06/2023","Amazon.com","4.4","N.A.","N.A.","N.A."
"B0CKZLNZ4N","Hair Removal Device for Women and Men  pgraded 999 900+ Flashes Painless at-Home","Aopvui","Beauty & Personal Care","$2,057,175.90","18,705","$109.98","N.A.","N.A.","16,684","19373","6","30","09/02/2023","Amazon","4.8","N.A.","N.A.","N.A."
"B089VZSC83","Bedsure Orthopedic Dog Bed for Extra Large Dogs - XL Washable Dog Sofa Bed Large  Supportive Foam Pet Couch Bed with Removable Washable Cover  Waterproof Lining and Nonskid Bottom  Grey","Bedsure","Pet Supplies","$2,055,677.33","34,267","$59.99","$49.01","$10.98","92","32794","6","1","09/19/2023","N.A.","4.6","42.00"" x 32.00"" x 6.50""","Medium oversize","8.51 lbs"
"B0C663Z8JD","Stanley IceFlow Stainless Steel Tumbler with Straw  Vacuum Insulated Water Bottle for Home  Office or Car  Reusable Cup with Straw Leakproof Flip","Stanley","Kitchen & Dining","$2,033,675.00","58,105","$35.00","$10.39","$24.61","5","18980.666666666668","7","8","09/17/2023","N.A.","4.7","9.00"" x 3.30"" x 3.30""","Large standard-size","0.59 kg"
"B0CHN143F5","Hanes Men's  EcoSmart Sweatshirt  Crewneck.","Hanes","Clothing, Shoes & Jewelry","$1,999,999.50","100,050","$19.99","N.A.","N.A.","5","1","3","1","09/07/2023","VISHTEA","5","N.A.","N.A.","N.A."
"B0CLCBHC9J","Sunbeam Royal Ultra Fleece Heated Electric Blanket Queen Size  90"" x 84""  12 Heat Settings  12-Hour Selectable Auto Shut-Off  Fast Heating  Machine Washable  Warm and Cozy  Cabernet","Sunbeam","Home & Kitchen","$1,845,210.84","20,532","$89.87","N.A.","N.A.","346","32960","7","2","09/18/2023","Amazon Warehouse","4.3","N.A.","N.A.","N.A."
"B07Z59WWGD","Clean Skin Club Clean Towels XL SUPREME  Extra Exfoliating  Absorbent & Durable USDA Certified 100‪%‬ Biobased Dermatologist Approved Face Towel  Disposable Makeup Remover Dry Wipes  Facial Wash  50CT","CLEAN SKIN CLUB","Beauty & Personal Care","$1,816,740.00","100,930","$18.00","$7.84","$10.16","10","15963","7","1","09/08/2023","Amazon","4.8","6.25"" x 5.25"" x 4.75""","Large standard-size","1.04 lbs"
"B0CGPPZ46T","KingChii Upgrade 375L Electric Cigar Humidor Temperature & Humidity Control  Built-in Humidification System with Spanish Cedar Wood Shelves & Drawer Hygrometer Father's Day Gift For Men(1875 Capacity)","KingChii","Health & Household","$1,727,493.09","691","$2,499.99","N.A.","N.A.","34,056","335","6","1","09/13/2023","Amazon","4.5","N.A.","N.A.","N.A."
"B07BQRWTDJ","SoundAsleep Dream Series Kids Air Mattress with High Speed External Pump - Extra Tall Safety Bumpers - Portable  Toddler Blow up Bed for Kids - Inflatable Toddler Air Mattress for Home and Camping","SoundAsleep Products","Home & Kitchen","$1,623,139.65","19,107","$84.95","N.A.","N.A.","205","57460","7","1","09/17/2023","Amazon","4.4","N.A.","N.A.","N.A."
"B0CCDVZQZ5","upsimples 16x20 Picture Frame Set of 5  Display Pictures 11x14 with Mat or 16x20 Without Mat  Wall Gallery Poster Frames  Natural","upsimples","Home & Kitchen","$1,621,745.37","35,263","$24.99","N.A.","N.A.","74","57353.125","6","4","09/02/2023","Amazon Warehouse","4.5","N.A.","N.A.","N.A."
"B0CCB281QC","Graco® TurboBooster® LX Backless Booster with Affix Latch | Backless Booster Seat for Big Kids Transitioning to Vehicle Seat Belt (Rio - 2 Pack)","Graco","Baby","$1,609,742.00","24,026","$67.00","$19.48","$47.52","46","68190","6","1","09/14/2023","Piccolino Baby","4.8","17.00"" x 14.00"" x 8.00""","Large standard-size","5 lbs"
"B0CKWT66QH","Ubbi Adult Diaper Pail  Stainless Steel Odor Locking  No Special Bag Required  Awards-Winning  Modern Design  White","Ubbi","Baby","$1,589,541.03","15,897","$99.99","$31.16","$68.83","158","N.A.","6","2","09/27/2023","N.A.","N.A.","10.50"" x 12.00"" x 21.25""","Small oversize","9.05 lbs"
"B0BY8W58R8","upsimples 18x24 Picture Frame  Display Pictures 16x20 with Mat or 18x24 Without Mat  Wall Hanging Photo Frame  Black  1 Pack","upsimples","Home & Kitchen","$1,578,418.53","54,447","$9.99","N.A.","N.A.","23","3531.3636363636365","6","1","09/12/2023","Amazon","4.6","N.A.","N.A.","N.A."
"B0BCPW6MVW","Socomi Cheesecloth Table Runner 10ft Gauze Boho Rustic Dusty Blue Cheese Cloth Table Runner for Wedding Bridal Shower Fall Thanksgiving Christmas Decoration 10pcs Dusty Blue","Socomi","Kitchen & Dining","$1,565,786.00","26,140","$49.90","N.A.","N.A.","72","829.5","5","1","09/12/2023","Amazon","4.8","N.A.","N.A.","N.A."
